Date,GDGCAFJP Index
8/25/2011,0.7
8/30/2011,1.4
8/31/2011,1.6
9/1/2011,1.4
9/2/2011,1.4
9/6/2011,1.4
9/8/2011,2.3
9/9/2011,2.4
9/12/2011,2.4
9/13/2011,2.6
9/14/2011,2
9/15/2011,2.1
9/16/2011,2.1
9/20/2011,2.1
9/21/2011,2.2
9/26/2011,2.2
9/27/2011,2.2
9/28/2011,2.3
9/30/2011,2.1
10/3/2011,2.6
10/4/2011,2.5
10/5/2011,2.6
10/7/2011,2.5
10/13/2011,2.5
10/14/2011,3
10/17/2011,3.2
10/18/2011,3.1
10/19/2011,3.3
10/20/2011,3.2
10/28/2011,2.3
11/1/2011,2.2
11/2/2011,2.3
11/3/2011,2.4
11/4/2011,2.6
11/9/2011,3.1
11/10/2011,3.3
11/15/2011,3.7
11/16/2011,3.7
11/17/2011,3.7
11/21/2011,3.7
11/22/2011,3.5
11/23/2011,3.2
11/28/2011,3.2
12/1/2011,4
12/2/2011,4
12/5/2011,4.4
12/8/2011,5.1
12/9/2011,5.8
12/13/2011,5.6
12/15/2011,5.5
12/16/2011,5.6
12/20/2011,5.6
12/21/2011,5.6
12/29/2011,4.9
1/3/2012,5.3
1/9/2012,5.5
1/10/2012,5.2
2/3/2012,2.8
2/9/2012,2.3
2/10/2012,2.3
2/14/2012,2.1
2/15/2012,2.1
2/16/2012,2.1
2/17/2012,1.9
2/22/2012,1.9
2/24/2012,1.9
2/28/2012,1.9
3/1/2012,1.1
3/5/2012,1.1
3/9/2012,0.6
3/13/2012,1.3
3/16/2012,1.1
3/20/2012,1.2
3/21/2012,1.2
3/23/2012,1.2
3/28/2012,0.8
3/30/2012,0.9
4/2/2012,0.8
4/10/2012,1.2
4/12/2012,2.1
4/16/2012,2.2
4/17/2012,2.2
4/26/2012,3
6/1/2012,1.8
6/4/2012,1.7
6/8/2012,1.4
6/13/2012,1
6/14/2012,1
6/25/2012,0.9
6/28/2012,1
6/29/2012,1
7/2/2012,0.7
7/6/2012,0.7
7/11/2012,0.4
7/16/2012,0.2
7/17/2012,0.2
7/18/2012,0.2
7/26/2012,0.2
8/2/2012,1.6
8/3/2012,2.2
8/14/2012,2.6
8/24/2012,2.9
8/30/2012,3.2
9/4/2012,2.6
9/24/2012,2.6
10/1/2012,2.4
10/5/2012,2.7
10/15/2012,2.4
10/25/2012,1.8
11/2/2012,1.8
11/9/2012,1.7
11/14/2012,1.5
11/20/2012,1.1
11/30/2012,0.3
12/3/2012,0.1
12/4/2012,0.1
12/14/2012,0.7
12/19/2012,0.7
1/2/2013,0.9
1/10/2013,1.1
1/11/2013,0.4
1/16/2013,0.2
1/22/2013,0.2
1/25/2013,0.2
1/28/2013,0.1
1/31/2013,2.4
2/6/2013,2.3
2/8/2013,2.7
2/13/2013,3
2/21/2013,2.9
2/26/2013,2.8
3/1/2013,2.9
3/8/2013,3.1
3/13/2013,3.3
3/29/2013,3.7
4/5/2013,3.5
4/12/2013,2.7
4/16/2013,2.9
4/22/2013,2.9
4/29/2013,2.4
5/31/2013,2.4
6/13/2013,3
6/14/2013,3
6/20/2013,3.1
6/25/2013,3.1
6/27/2013,1.9
7/1/2013,2
7/3/2013,1.6
7/10/2013,1.4
7/11/2013,1.3
8/2/2013,1.1
8/6/2013,1.4
8/9/2013,1.9
8/12/2013,1.9
8/13/2013,2
8/15/2013,1.7
8/16/2013,1.7
8/21/2013,1.9
8/23/2013,2
8/26/2013,1.9
8/30/2013,1.4
9/3/2013,1.9
9/4/2013,2
9/5/2013,2.1
9/6/2013,2
9/11/2013,1.9
9/13/2013,2
9/16/2013,1.9
9/17/2013,1.9
9/18/2013,1.9
9/19/2013,1.9
9/25/2013,1.9
9/27/2013,1.7
10/1/2013,1.9
10/22/2013,1.8
10/24/2013,2
10/25/2013,2.1
10/28/2013,2.1
10/29/2013,2.1
10/30/2013,2.2
11/4/2013,2.3
11/8/2013,1.4
11/14/2013,1.4
11/15/2013,0.9
11/20/2013,0.9
11/26/2013,0.9
12/2/2013,1.4
12/4/2013,1.2
12/5/2013,1.2
12/6/2013,1.3
12/10/2013,1.7
