Date,GDIHPHSR Index
3/31/1991,16.6
6/30/1991,13.8
9/30/1991,11.6
12/31/1991,12.1
3/31/1992,17
6/30/1992,12.9
9/30/1992,11.8
12/31/1992,11.8
3/31/1993,16.3
6/30/1993,12.7
9/30/1993,10.8
12/31/1993,11.3
3/31/1994,15.6
6/30/1994,11.6
9/30/1994,10.6
12/31/1994,11
3/31/1995,15.4
6/30/1995,11.4
9/30/1995,10.3
12/31/1995,10.2
3/31/1996,15.1
6/30/1996,11
9/30/1996,9.7
12/31/1996,9.7
3/31/1997,14.5
6/30/1997,10.3
9/30/1997,9.4
12/31/1997,9.6
3/31/1998,14.5
6/30/1998,10.3
9/30/1998,9.2
12/31/1998,9.2
3/31/1999,13.3
6/30/1999,9.5
9/30/1999,8.8
12/31/1999,8.9
3/31/2000,13.2
6/30/2000,8.9
9/30/2000,7.9
12/31/2000,8.1
3/31/2001,13.6
6/30/2001,9.7
9/30/2001,8.8
12/31/2001,9.1
3/31/2002,13.3
6/30/2002,9.6
9/30/2002,8.8
12/31/2002,9
3/31/2003,14.4
6/30/2003,9.9
9/30/2003,9
12/31/2003,8.8
3/31/2004,14.2
6/30/2004,10
9/30/2004,9
12/31/2004,9
3/31/2005,13.9
6/30/2005,9.7
9/30/2005,8.9
12/31/2005,9.6
3/31/2006,13.9
6/30/2006,10
9/30/2006,9
12/31/2006,9.5
3/31/2007,14.4
6/30/2007,10.1
9/30/2007,8.9
12/31/2007,9.4
3/31/2008,14.5
6/30/2008,11
9/30/2008,9.6
12/31/2008,8.7
3/31/2009,13.9
6/30/2009,10.1
9/30/2009,8.7
12/31/2009,8.8
3/31/2010,14
6/30/2010,10
9/30/2010,8.6
12/31/2010,8.6
3/31/2011,13.5
6/30/2011,9.7
9/30/2011,8.5
12/31/2011,8.6
3/31/2012,13.5
6/30/2012,9.5
9/30/2012,8.1
12/31/2012,7.8
3/31/2013,12.7
6/30/2013,9.1
9/30/2013,7.7
12/31/2013,7.8
3/31/2014,13.2
6/30/2014,9.6
9/30/2014,8.3
12/31/2014,8.5
3/31/2015,13.1
6/30/2015,9.8
9/30/2015,8.5
12/31/2015,8.8
3/31/2016,13.3
6/30/2016,9.5
9/30/2016,8.5
12/31/2016,8.6
3/31/2017,13.6
6/30/2017,9.7
9/30/2017,8.7
12/31/2017,9.3
3/31/2018,14.2
6/30/2018,10.5
9/30/2018,9.4
12/31/2018,9.5
3/31/2019,13.8
6/30/2019,9.7
9/30/2019,8.7
12/31/2019,9.3
3/31/2020,15.9
6/30/2020,19.8
9/30/2020,13.1
12/31/2020,15.2
3/31/2021,20.8
6/30/2021,15.8
9/30/2021,9.6
12/31/2021,10.6
3/31/2022,13.3
6/30/2022,9.5
9/30/2022,8.8
12/31/2022,9.6
3/31/2023,12.3
6/30/2023,10.2
9/30/2023,9.4
12/31/2023,9.9
3/31/2024,13.7
6/30/2024,10.9
9/30/2024,10.5
12/31/2024,10.6
