Date,DEYC2Y10 Index
9/18/1990,1.2
9/19/1990,1.6
9/20/1990,1.3
9/21/1990,1.3
9/24/1990,1.5
9/25/1990,1.4
9/26/1990,5.4
9/27/1990,6.7
9/28/1990,9.6
10/1/1990,3.6
10/2/1990,-0.1
10/4/1990,1.2
10/5/1990,4.3
10/8/1990,6.1
10/9/1990,4.3
10/10/1990,9.6
10/11/1990,12.7
10/12/1990,11.8
10/15/1990,10.7
10/16/1990,13.9
10/17/1990,11.6
10/18/1990,12.3
10/19/1990,6.2
10/22/1990,2.7
10/23/1990,7.5
10/24/1990,8
10/25/1990,6.8
10/26/1990,9.6
10/29/1990,11.2
10/30/1990,12.9
10/31/1990,16.2
11/1/1990,11.1
11/2/1990,12.2
11/5/1990,13.4
11/6/1990,11.6
11/7/1990,12.7
11/8/1990,13.9
11/9/1990,15
11/12/1990,14.5
11/13/1990,9.8
11/14/1990,7.5
11/15/1990,3
11/16/1990,-6
11/19/1990,-7.8
11/20/1990,-12.3
11/21/1990,-12.3
11/22/1990,-18
11/23/1990,-21.9
11/26/1990,-18.9
11/27/1990,-18.3
11/28/1990,-19.1
11/29/1990,-14.8
11/30/1990,-17.7
12/3/1990,-22.8
12/4/1990,-16.9
12/5/1990,-15.9
12/6/1990,-14.4
12/7/1990,-20
12/10/1990,-21.2
12/11/1990,-26.7
12/12/1990,-24.1
12/13/1990,-29.9
12/14/1990,-28.9
12/17/1990,-36.2
12/18/1990,-25.9
12/19/1990,-26
12/20/1990,-23.4
12/21/1990,-19.6
12/27/1990,-15.1
12/28/1990,-16.7
1/3/1991,-16.6
1/4/1991,-16.2
1/7/1991,-11.7
1/8/1991,-13.5
1/9/1991,-13.5
1/10/1991,-21.7
1/11/1991,-27.3
1/14/1991,-34.9
1/15/1991,-36.4
1/16/1991,-35.8
1/17/1991,-44.7
1/18/1991,-43.8
1/21/1991,-44.8
1/22/1991,-39.3
1/23/1991,-37.9
1/24/1991,-40.2
1/25/1991,-35
1/28/1991,-35.6
1/29/1991,-36.2
1/30/1991,-40
1/31/1991,-42.2
2/1/1991,-46.4
2/4/1991,-48.1
2/5/1991,-49
2/6/1991,-52.1
2/7/1991,-54.3
2/8/1991,-50.8
2/11/1991,-46.3
2/12/1991,-42.4
2/13/1991,-33.9
2/14/1991,-31.2
2/15/1991,-34.8
2/18/1991,-36.4
2/19/1991,-31.5
2/20/1991,-30.7
2/21/1991,-33.9
2/22/1991,-34.4
2/25/1991,-36
2/26/1991,-35.2
2/27/1991,-33.6
2/28/1991,-34.7
3/1/1991,-36
3/4/1991,-34.9
3/5/1991,-33.7
3/6/1991,-31.5
3/7/1991,-28.6
3/8/1991,-33.8
3/11/1991,-29.7
3/12/1991,-23.5
3/13/1991,-21
3/14/1991,-23
3/15/1991,-23.7
3/18/1991,-22.5
3/19/1991,-22.1
3/20/1991,-23.9
3/21/1991,-26.5
3/22/1991,-27.3
3/25/1991,-26.5
3/26/1991,-26.3
3/27/1991,-27.2
3/28/1991,-31.1
4/2/1991,-32.3
4/3/1991,-33.9
4/4/1991,-36.3
4/5/1991,-34.4
4/8/1991,-39.2
4/9/1991,-32.3
4/10/1991,-32.2
4/11/1991,-26.9
4/12/1991,-35
4/15/1991,-34.2
4/16/1991,-29.1
4/17/1991,-34.7
4/18/1991,-35.2
4/19/1991,-31.8
4/22/1991,-36.8
4/23/1991,-42.8
4/24/1991,-44.7
4/25/1991,-45.6
4/26/1991,-42.4
4/29/1991,-45.6
4/30/1991,-47.5
5/2/1991,-48.5
5/3/1991,-46.6
5/6/1991,-50.8
5/7/1991,-44.8
5/8/1991,-40.5
5/9/1991,-42.7
5/10/1991,-39.5
5/13/1991,-38.3
5/14/1991,-31.1
5/15/1991,-35.4
5/16/1991,-34.6
5/17/1991,-35
5/20/1991,-35
5/21/1991,-43.2
5/22/1991,-45.4
5/23/1991,-44.4
5/24/1991,-44.2
5/27/1991,-42.9
5/28/1991,-42.9
5/29/1991,-43.1
5/30/1991,-43.7
5/31/1991,-42.6
6/3/1991,-39.4
6/4/1991,-37.9
6/5/1991,-37.1
6/6/1991,-35.6
6/7/1991,-33.3
6/10/1991,-33.1
6/11/1991,-34.3
6/12/1991,-33.6
6/13/1991,-32.8
6/14/1991,-37.4
6/17/1991,-36.8
6/18/1991,-37.8
6/19/1991,-39.4
6/20/1991,-39.6
6/21/1991,-40.3
6/24/1991,-39.3
6/25/1991,-40
6/26/1991,-44.2
6/27/1991,-45.5
6/28/1991,-44.6
7/1/1991,-42
7/2/1991,-42.7
7/3/1991,-46.1
7/4/1991,-44.1
7/5/1991,-42
7/8/1991,-46.5
7/9/1991,-47.5
7/10/1991,-47.7
7/11/1991,-41.9
7/12/1991,-43.7
7/15/1991,-38.8
7/16/1991,-38.4
7/17/1991,-47.6
7/18/1991,-48.3
7/19/1991,-47.8
7/22/1991,-46.4
7/23/1991,-44.3
7/24/1991,-45.8
7/25/1991,-47.4
7/26/1991,-47.2
7/29/1991,-47.7
7/30/1991,-46.8
7/31/1991,-44.1
8/1/1991,-41.1
8/2/1991,-47.4
8/5/1991,-50.7
8/6/1991,-53.9
8/7/1991,-51.6
8/8/1991,-52.5
8/9/1991,-56.6
8/12/1991,-62.3
8/13/1991,-63
8/14/1991,-63.5
8/15/1991,-64.5
8/16/1991,-57.6
8/19/1991,-51
8/20/1991,-51.1
8/21/1991,-55.8
8/22/1991,-50
8/23/1991,-52.2
8/26/1991,-52.3
8/27/1991,-51.6
8/28/1991,-49.6
8/29/1991,-52.8
8/30/1991,-52.7
9/2/1991,-54.1
9/3/1991,-54.8
9/4/1991,-55.4
9/5/1991,-54.2
9/6/1991,-53.4
9/9/1991,-55.9
9/10/1991,-51.4
9/11/1991,-50.9
9/12/1991,-50.8
9/13/1991,-52.5
9/16/1991,-51.8
9/17/1991,-51.4
9/18/1991,-53.6
9/19/1991,-53.9
9/20/1991,-52.5
9/23/1991,-57.6
9/24/1991,-57.6
9/25/1991,-56.9
9/26/1991,-55.6
9/27/1991,-58.1
9/30/1991,-61
10/1/1991,-63.8
10/2/1991,-66.1
10/4/1991,-64.8
10/7/1991,-66
10/8/1991,-66.5
10/9/1991,-63.6
10/10/1991,-64.7
10/11/1991,-72.6
10/14/1991,-70.3
10/15/1991,-70.3
10/16/1991,-73.8
10/17/1991,-71
10/18/1991,-70.2
10/21/1991,-68.9
10/22/1991,-69.3
10/23/1991,-65.5
10/24/1991,-63.9
10/25/1991,-61.8
10/28/1991,-65.7
10/29/1991,-69.9
10/30/1991,-69.9
10/31/1991,-68.3
11/1/1991,-69.1
11/4/1991,-69.2
11/5/1991,-72.6
11/6/1991,-75.1
11/7/1991,-74.9
11/8/1991,-74.5
11/11/1991,-75.2
11/12/1991,-71.7
11/13/1991,-72
11/14/1991,-71.6
11/15/1991,-72.6
11/18/1991,-71.9
11/19/1991,-71.2
11/20/1991,-72.5
11/21/1991,-70.6
11/22/1991,-69.2
11/25/1991,-70.3
11/26/1991,-73.8
11/27/1991,-71.7
11/28/1991,-76.1
11/29/1991,-76.4
12/2/1991,-75.6
12/3/1991,-79
12/4/1991,-78
12/5/1991,-84.2
12/6/1991,-87.7
12/9/1991,-88.3
12/10/1991,-88.1
12/11/1991,-86.4
12/12/1991,-83.3
12/13/1991,-84.1
12/16/1991,-83.7
12/17/1991,-78.6
12/18/1991,-75.9
12/19/1991,-84.5
12/20/1991,-94.1
12/23/1991,-94.1
12/27/1991,-96.5
12/30/1991,-101
12/31/1991,-103.3
1/2/1992,-101.3
1/3/1992,-97.2
1/6/1992,-94
1/7/1992,-85.8
1/8/1992,-86.2
1/9/1992,-85.3
1/10/1992,-81.5
1/13/1992,-84.6
1/14/1992,-88.2
1/15/1992,-85.6
1/16/1992,-79.3
1/17/1992,-76.5
1/20/1992,-80.3
1/21/1992,-74.8
1/22/1992,-67.6
1/23/1992,-67.9
1/24/1992,-68.3
1/27/1992,-68.9
1/28/1992,-69.6
1/29/1992,-66.1
1/30/1992,-68.8
1/31/1992,-73.5
2/3/1992,-73.2
2/4/1992,-79.3
2/5/1992,-76.4
2/6/1992,-77.1
2/7/1992,-80.9
2/10/1992,-82
2/11/1992,-80.6
2/12/1992,-80.6
2/13/1992,-79.5
2/14/1992,-77.8
2/17/1992,-75.4
2/18/1992,-74.1
2/19/1992,-74
2/20/1992,-70.4
2/21/1992,-69.6
2/24/1992,-67.4
2/25/1992,-65.2
2/26/1992,-65.3
2/27/1992,-72.8
2/28/1992,-74.2
3/2/1992,-78.9
3/3/1992,-78
3/4/1992,-74.7
3/5/1992,-74.1
3/6/1992,-74.3
3/9/1992,-71.8
3/10/1992,-68.8
3/11/1992,-69.2
3/12/1992,-70
3/13/1992,-69.9
3/16/1992,-75.6
3/17/1992,-76.2
3/18/1992,-77.3
3/19/1992,-77.6
3/20/1992,-79.6
3/23/1992,-86.8
3/24/1992,-86.9
3/25/1992,-89.6
3/26/1992,-89.8
3/27/1992,-89.2
3/30/1992,-89.8
3/31/1992,-90.2
4/1/1992,-88.5
4/2/1992,-96.6
4/3/1992,-98
4/6/1992,-94.7
4/7/1992,-92.6
4/8/1992,-89.1
4/9/1992,-86.3
4/10/1992,-85.8
4/13/1992,-83.5
4/14/1992,-86.3
4/15/1992,-81.3
4/16/1992,-82.1
4/21/1992,-84.1
4/22/1992,-82.2
4/23/1992,-90.9
4/24/1992,-97.1
4/27/1992,-94.6
4/28/1992,-100.4
4/29/1992,-99.6
4/30/1992,-97.5
5/4/1992,-95.5
5/5/1992,-94.9
5/6/1992,-98.4
5/7/1992,-98.9
5/8/1992,-103.4
5/11/1992,-101.9
5/12/1992,-97.8
5/13/1992,-98.4
5/14/1992,-99.2
5/15/1992,-98.8
5/18/1992,-96.3
5/19/1992,-98.6
5/20/1992,-97
5/21/1992,-94
5/22/1992,-92.9
5/25/1992,-91.4
5/26/1992,-93
5/27/1992,-95.8
5/29/1992,-96.9
6/1/1992,-98.9
6/2/1992,-104.8
6/3/1992,-106.8
6/4/1992,-108.5
6/5/1992,-102.5
6/9/1992,-103.5
6/10/1992,-99.9
6/11/1992,-99
6/12/1992,-97.4
6/15/1992,-96.8
6/16/1992,-100.2
6/17/1992,-100
6/19/1992,-103.1
6/22/1992,-102.7
6/23/1992,-102.9
6/24/1992,-100
6/25/1992,-99.8
6/26/1992,-98.9
6/29/1992,-98.7
6/30/1992,-100
7/1/1992,-102.5
7/2/1992,-99.4
7/3/1992,-101.4
7/6/1992,-107.4
7/7/1992,-104.3
7/8/1992,-105.5
7/9/1992,-104.5
7/10/1992,-101.4
7/13/1992,-107.9
7/14/1992,-108.4
7/15/1992,-109
7/16/1992,-110.7
7/17/1992,-106.2
7/20/1992,-102.4
7/21/1992,-99.5
7/22/1992,-105.9
7/23/1992,-104.5
7/24/1992,-104
7/27/1992,-104.7
7/28/1992,-103.1
7/29/1992,-103.8
7/30/1992,-104.3
7/31/1992,-105.1
8/3/1992,-105.1
8/4/1992,-106
8/5/1992,-106.3
8/6/1992,-105.3
8/7/1992,-103.4
8/10/1992,-103.5
8/11/1992,-105.3
8/12/1992,-109.5
8/13/1992,-111.1
8/14/1992,-113
8/17/1992,-114.4
8/18/1992,-115.6
8/19/1992,-114.6
8/20/1992,-110.8
8/21/1992,-109
8/24/1992,-112
8/25/1992,-116.3
8/26/1992,-116
8/27/1992,-123.6
8/28/1992,-125.8
8/31/1992,-126.4
9/1/1992,-125.9
9/2/1992,-124.9
9/3/1992,-123.5
9/4/1992,-129.7
9/7/1992,-130.2
9/8/1992,-126.8
9/9/1992,-126
9/10/1992,-127.6
9/11/1992,-127.1
9/14/1992,-109.3
9/15/1992,-102.7
9/16/1992,-94.1
9/17/1992,-88.2
9/18/1992,-85.8
9/21/1992,-88.4
9/22/1992,-84.1
9/23/1992,-63.4
9/24/1992,-64.1
9/25/1992,-69.7
9/28/1992,-68.9
9/29/1992,-75.8
9/30/1992,-74
10/1/1992,-66.1
10/2/1992,-66.9
10/5/1992,-51.3
10/6/1992,-42
10/7/1992,-32.1
10/8/1992,-35.5
10/9/1992,-30.9
10/12/1992,-28.1
10/13/1992,-35.6
10/14/1992,-30.7
10/15/1992,-32.7
10/16/1992,-27.5
10/19/1992,-16.3
10/20/1992,5.2
10/21/1992,4.2
10/22/1992,5.3
10/23/1992,1.1
10/26/1992,5.4
10/27/1992,2
10/28/1992,-5.1
10/29/1992,-4.8
10/30/1992,-11.7
11/2/1992,-14.4
11/3/1992,-8.3
11/4/1992,-5.6
11/5/1992,0.7
11/6/1992,2.5
11/9/1992,1.4
11/10/1992,-2.1
11/11/1992,-7
11/12/1992,-8.4
11/13/1992,-11.3
11/16/1992,-8.4
11/17/1992,-5.6
11/18/1992,-6.1
11/19/1992,2.5
11/20/1992,13.1
11/23/1992,14.4
11/24/1992,11.2
11/25/1992,8.7
11/26/1992,3.1
11/27/1992,4
11/30/1992,-6.7
12/1/1992,-13.3
12/2/1992,-19
12/3/1992,-7.8
12/4/1992,-5
12/7/1992,-6.1
12/8/1992,-10.5
12/9/1992,-11.1
12/10/1992,-15.1
12/11/1992,-10.7
12/14/1992,-14.1
12/15/1992,-15.4
12/16/1992,-16.6
12/17/1992,-17.8
12/18/1992,-13.4
12/21/1992,-12.5
12/22/1992,-17.3
12/23/1992,-19.4
12/28/1992,-17.9
12/29/1992,-16.1
12/30/1992,-7.8
12/31/1992,-5.1
1/4/1993,3.2
1/5/1993,11.8
1/6/1993,11.2
1/7/1993,11.3
1/8/1993,16.9
1/11/1993,14.2
1/12/1993,18.1
1/13/1993,13.2
1/14/1993,16.3
1/15/1993,17.8
1/18/1993,16.6
1/19/1993,14.5
1/20/1993,14.8
1/21/1993,12.1
1/22/1993,11.8
1/25/1993,5.9
1/26/1993,6
1/27/1993,4.7
1/28/1993,5.6
1/29/1993,7.4
2/1/1993,12.1
2/2/1993,15.8
2/3/1993,20.6
2/4/1993,22
2/5/1993,34.7
2/8/1993,34.2
2/9/1993,37.6
2/10/1993,33.8
2/11/1993,30.7
2/12/1993,30.1
2/15/1993,28.9
2/16/1993,28.2
2/17/1993,31.1
2/18/1993,31.9
2/19/1993,31.1
2/22/1993,42.3
2/23/1993,34.7
2/24/1993,30.5
2/25/1993,35.3
2/26/1993,36.6
3/1/1993,36.6
3/2/1993,30.3
3/3/1993,29.8
3/4/1993,29.8
3/5/1993,30.4
3/8/1993,35.6
3/9/1993,32.9
3/10/1993,36.4
3/11/1993,38.6
3/12/1993,38.4
3/15/1993,41.6
3/16/1993,43.9
3/17/1993,43.4
3/18/1993,44.5
3/19/1993,48
3/22/1993,47.4
3/23/1993,41
3/24/1993,37.6
3/25/1993,36.7
3/26/1993,36.5
3/29/1993,36.9
3/30/1993,41.2
3/31/1993,44.3
4/1/1993,39.3
4/2/1993,41.3
4/5/1993,44.8
4/6/1993,43.2
4/7/1993,41.7
4/8/1993,40.5
4/13/1993,39.8
4/14/1993,34.3
4/15/1993,33
4/16/1993,30
4/19/1993,29.2
4/20/1993,29.8
4/21/1993,27.9
4/22/1993,39.1
4/23/1993,32.3
4/26/1993,31.5
4/27/1993,38.4
4/28/1993,41.1
4/29/1993,39.9
4/30/1993,49.1
5/3/1993,49.8
5/4/1993,53.6
5/5/1993,57.5
5/6/1993,55
5/7/1993,59.1
5/10/1993,59.4
