date,rate
31/01/2025,2.512
31/12/2024,2.2126
30/11/2024,2.3135
31/10/2024,2.2471
30/09/2024,2.1783
31/08/2024,2.2333
31/07/2024,2.4718
30/06/2024,2.486
31/05/2024,2.534
30/04/2024,2.4723
31/03/2024,2.3614
29/02/2024,2.3644
31/01/2024,2.2137
31/12/2023,2.1204
30/11/2023,2.6155
31/10/2023,2.8482
30/09/2023,2.6988
31/08/2023,2.5673
31/07/2023,2.4805
30/06/2023,2.398
31/05/2023,2.3506
30/04/2023,2.3752
31/03/2023,2.3961
28/02/2023,2.408
31/01/2023,2.2105
31/12/2022,2.1204
30/11/2022,2.0721
31/10/2022,2.2052
30/09/2022,1.8304
31/08/2022,1.1013
31/07/2022,1.138
30/06/2022,1.5011
31/05/2022,0.9973
30/04/2022,0.7845
31/03/2022,0.3263
28/02/2022,0.2122
31/01/2022,-0.0578
31/12/2021,-0.3114
30/11/2021,-0.2525
31/10/2021,-0.1462
30/09/2021,-0.3023
31/08/2021,-0.4603
31/07/2021,-0.3472
30/06/2021,-0.2039
31/05/2021,-0.1652
30/04/2021,-0.2692
31/03/2021,-0.3162
28/02/2021,-0.3894
31/01/2021,-0.5325
31/12/2020,-0.576
30/11/2020,-0.571
31/10/2020,-0.5711
30/09/2020,-0.4884
31/08/2020,-0.4678
31/07/2020,-0.4625
30/06/2020,-0.4038
31/05/2020,-0.4967
30/04/2020,-0.437
31/03/2020,-0.5173
29/02/2020,-0.433
31/01/2020,-0.2793
31/12/2019,-0.2721
30/11/2019,-0.327
31/10/2019,-0.4466
30/09/2019,-0.5691
31/08/2019,-0.6253
31/07/2019,-0.3455
30/06/2019,-0.268
31/05/2019,-0.0852
30/04/2019,0.0087
31/03/2019,0.0551
28/02/2019,0.1278
31/01/2019,0.2082
31/12/2018,0.2521
30/11/2018,0.3832
31/10/2018,0.4598
30/09/2018,0.445
31/08/2018,0.3632
31/07/2018,0.3452
30/06/2018,0.3949
31/05/2018,0.5119
30/04/2018,0.5474
31/03/2018,0.5876
28/02/2018,0.7206
