Date,GRZEEUEX index
1/31/1999,-15.7
2/28/1999,-1.4
3/31/1999,13
4/30/1999,30.5
5/31/1999,47.9
6/30/1999,59.9
7/31/1999,75.4
8/31/1999,77.9
9/30/1999,79.9
10/31/1999,83.4
11/30/1999,87.9
12/31/1999,86.3
1/31/2000,89.9
2/29/2000,86.7
3/31/2000,81.5
4/30/2000,80.6
5/31/2000,78.2
6/30/2000,74.9
7/31/2000,70.1
8/31/2000,62.8
9/30/2000,37.2
10/31/2000,17.6
11/30/2000,6.1
12/31/2000,-0.3
1/31/2001,-4.6
2/28/2001,-7
3/31/2001,-10
4/30/2001,-4.2
5/31/2001,-1.5
6/30/2001,-3.9
7/31/2001,1.7
8/31/2001,12.2
9/30/2001,14.7
10/31/2001,10.6
11/30/2001,14.9
12/31/2001,30.3
1/31/2002,43.1
2/28/2002,56.6
3/31/2002,75.7
4/30/2002,74.3
5/31/2002,68.4
6/30/2002,72.5
7/31/2002,70.9
8/31/2002,47.6
9/30/2002,43
10/31/2002,34.3
11/30/2002,24.2
12/31/2002,27.1
1/31/2003,29.9
2/28/2003,28.7
3/31/2003,29.6
4/30/2003,29.5
5/31/2003,35.5
6/30/2003,38
7/31/2003,50.5
8/31/2003,58.1
9/30/2003,69.6
10/31/2003,66.8
11/30/2003,72.1
12/31/2003,78.2
1/31/2004,80.1
2/29/2004,75.6
3/31/2004,64.3
4/30/2004,59.1
5/31/2004,59.2
6/30/2004,56.8
7/31/2004,55.5
8/31/2004,52
9/30/2004,44.7
10/31/2004,37.6
11/30/2004,22.1
12/31/2004,17.7
1/31/2005,29.9
2/28/2005,36
3/31/2005,37.3
4/30/2005,24.6
5/31/2005,14.8
6/30/2005,16.7
7/31/2005,29
8/31/2005,41.6
9/30/2005,31.8
10/31/2005,34.7
11/30/2005,40
12/31/2005,51.2
1/31/2006,66.1
2/28/2006,66
3/31/2006,61.1
4/30/2006,58.7
5/31/2006,47.7
6/30/2006,37.3
7/31/2006,18.1
8/31/2006,1.3
9/30/2006,-10.2
10/31/2006,-12.5
11/30/2006,-11
12/31/2006,-3
1/31/2007,-1.8
2/28/2007,6.8
3/31/2007,5.1
4/30/2007,10.7
5/31/2007,22.3
6/30/2007,19
7/31/2007,7.2
8/31/2007,-6.1
9/30/2007,-20.3
10/31/2007,-19
11/30/2007,-30
12/31/2007,-35.7
1/31/2008,-41.7
2/29/2008,-41.4
3/31/2008,-35
4/30/2008,-44.8
5/31/2008,-43.6
6/30/2008,-52.7
7/31/2008,-63.7
8/31/2008,-55.7
9/30/2008,-40.9
10/31/2008,-62.7
11/30/2008,-54
12/31/2008,-46.1
1/31/2009,-30.8
2/28/2009,-8.7
3/31/2009,-6.5
4/30/2009,11.8
5/31/2009,28.5
6/30/2009,42.7
7/31/2009,39.5
8/31/2009,54.9
9/30/2009,59.6
10/31/2009,56.9
11/30/2009,51.8
12/31/2009,48
1/31/2010,46.4
2/28/2010,40.2
3/31/2010,37.9
4/30/2010,46
5/31/2010,37.6
6/30/2010,18.8
7/31/2010,10.7
8/31/2010,15.8
9/30/2010,4.4
10/31/2010,1.8
11/30/2010,13.8
12/31/2010,15.5
1/31/2011,25.4
2/28/2011,29.5
3/31/2011,31
4/30/2011,19.7
5/31/2011,13.6
6/30/2011,-5.9
7/31/2011,-7
8/31/2011,-40
9/30/2011,-44.6
10/31/2011,-51.2
11/30/2011,-59.1
12/31/2011,-54.1
1/31/2012,-32.5
2/29/2012,-8.1
3/31/2012,11
4/30/2012,13.1
5/31/2012,-2.4
6/30/2012,-20.1
7/31/2012,-22.3
8/31/2012,-21.2
9/30/2012,-3.8
10/31/2012,-1.4
11/30/2012,-2.6
12/31/2012,7.6
1/31/2013,31.2
2/28/2013,42.4
3/31/2013,33.4
4/30/2013,24.9
5/31/2013,27.6
6/30/2013,30.6
7/31/2013,32.8
8/31/2013,44
9/30/2013,58.6
10/31/2013,59.1
11/30/2013,60.2
12/31/2013,68.3
1/31/2014,73.3
